time,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,index
1990,6.669161343,-0.989102245,-1.992855193,-1.014580007,1.855881993,1.457294359,-1.421685518,-0.941491908,-0.9605044,-0.912544268,-1.162455,-1.061982166,-0.90835689,1.281338704,3.055787474,-1.134961366,-1.558185208,1.671979775,-0.842818985,-1.26130721,-1.003145528,2.974240718,-1.153277347,-0.940797087,-1.16641693,-2.052111593,-0.988091015,-1.044758427,3.320796736,-1.135986971,-2.814356317,-28.38076384
1991,7.030271836,-0.980021633,-1.80326547,-1.004376938,1.808228454,1.336221007,-1.379377458,-0.936711831,-0.952662207,-0.908973086,-1.150996008,-1.051765303,-0.900421643,1.264008679,2.631165096,-0.807863173,-1.519782615,1.155922333,-0.84053127,-1.26130721,-0.996318395,1.913045833,-1.101167461,-0.8985907,-0.986880951,-1.897875628,-0.978102635,-1.036929066,2.72342881,-1.155700411,-2.418902107,-26.69562355
1992,7.383136532,-0.964980811,-1.63174403,-0.987084989,1.712921374,1.336221007,-1.337867664,-0.925685048,-0.941567842,-0.904782607,-1.129415468,-1.032625736,-0.889225931,1.19468858,2.051032595,-0.740171118,-1.339839037,0.8719155,-0.836741977,-1.26130721,-0.982190023,1.001749145,-1.058531829,-0.869621853,-0.742739889,-1.740540641,-0.961420292,-1.011495852,2.122516618,-1.116273531,-1.640441146,-24.96152063
1993,7.805153891,-0.940403999,-1.460477072,-0.958688494,1.391259982,1.386668237,-1.295559604,-0.90353965,-0.918531973,-0.894175008,-1.083541527,-0.99761482,-0.875009061,1.021388333,1.420411945,-0.928127097,-1.263033851,0.609218582,-0.830550243,-1.26130721,-0.957536488,0.218513791,-1.016542091,-0.841684702,-0.547272248,-1.581775336,-0.934138334,-1.012928251,1.291312553,-1.076846652,-0.787124895,-22.81290414
1994,8.229288787,-0.902824988,-1.290864253,-0.915499598,1.355519827,1.467383805,-1.254049809,-0.885927673,-0.887933009,-0.880618589,-0.974512336,-0.953517495,-0.851347977,1.073378407,0.818584112,0.07102782,-1.120395648,0.386706928,-0.821082815,-1.26130721,-0.911548163,0.240044586,-0.975520972,-0.815306381,-0.375939278,-1.420864554,-0.892648749,-1.012960805,0.588993892,-1.037419772,-0.378125765,-21.74267296
1995,8.7577046,-0.866005134,-1.129140403,-0.874113654,1.367433212,1.437115467,-1.211741749,-0.872719577,-0.852845964,-0.868467167,-0.866980915,-0.907617932,-0.830217073,1.004058308,0.500330689,-0.277326906,-1.11271513,-0.180982771,-0.811806644,-1.26130721,-0.864801267,0.430002277,-0.903554547,-0.778612656,0.056842204,-1.261622477,-0.85281503,-0.990416804,0.257670518,-1.017706332,-0.098924684,-20.40336939
1996,9.009147563,-0.835645509,-0.967798276,-0.841045875,1.212559208,1.205058208,-1.096791549,-0.859880135,-0.819477803,-0.855340779,-0.788599044,-0.869636715,-0.811581933,0.813428036,0.288735226,-0.733247473,-1.179645363,0.132201831,-0.804158023,-1.26130721,-0.822036866,0.845006849,-0.89748655,-0.769187279,-0.047354046,-1.091176241,-0.821108111,-0.978835536,0.054386547,-0.938852573,-0.277598928,-19.23623579
1997,8.978140385,-0.81274209,-0.810400634,-0.81715676,0.95046474,1.083984856,-0.982639614,-0.850885162,-0.799141532,-0.840067416,-0.772275465,-0.84222042,-0.79116518,0.449497516,0.141920243,-0.711603732,-1.120395648,0.104725082,-0.793536757,-1.182843309,-0.797762616,0.73552504,-0.831906979,-0.710067501,-0.209205478,-0.843254443,-0.799450456,-0.980031914,-0.086938643,-0.879712253,-0.277870417,-17.49006308
1998,8.977132162,-0.79685602,-0.665981617,-0.801626787,0.724110427,0.912464274,-0.867689414,-0.835513055,-0.784200942,-0.821628507,-0.757361055,-0.831362006,-0.771512589,0.362847393,0.053925703,-0.935354864,-1.108326262,0.126466976,-0.785053287,-1.120072188,-0.780315499,0.756395975,-0.815768476,-0.716060593,0.114385007,-0.810595514,-0.782565288,-0.863503031,0.088200418,-0.820571934,-0.175541944,-16.67977778
1999,9.304446255,-0.78129344,-0.535559156,-0.786506576,0.414362419,0.831748706,-0.753537479,-0.829087124,-0.768243785,-0.793468579,-0.760301746,-0.816153591,-0.753356597,0.310857319,0.015615735,-0.790924309,-1.067729235,0.183068841,-0.76511261,-0.900373265,-0.758411781,1.004340062,-0.782754806,-0.717144355,0.584274302,-0.660650504,-0.768097458,-0.876736441,-0.023991924,-0.761431614,-0.167728502,-16.06728415
